1140000	55002	2515	216195	47825
1150000	56107	2561	216667	47992
1160000	57223	2607	217141	48120
1170000	58369	2659	217607	48279
1180000	59472	2705	218052	48412
1190000	60632	2751	218496	48570
1200000	61746	2794	218922	48696
1210000	62910	2847	219348	48855
1220000	64070	2897	219781	49019
1230000	65282	2949	220221	49156
1240000	66531	3013	220657	49325
1250000	67748	3054	221059	49471
1260000	68948	3098	221485	49599
1270000	70189	3150	221905	49735
1280000	71427	3197	222302	49879
1290000	72668	3247	222711	50017
1300000	73873	3308	223121	50168
1310000	75188	3362	223480	50319
1320000	76461	3416	223861	50448
1330000	77816	3470	224262	50589
1340000	79066	3508	224681	50700
1350000	80351	3556	225062	50826
1360000	81639	3613	225416	50938
1370000	82976	3660	225819	51090
1380000	84299	3706	226194	51216
1390000	85663	3773	226552	51363
1400000	87051	3837	226933	51490
1410000	88426	3904	227287	51612
1420000	89852	3953	227634	51760
1430000	91194	4013	227981	51896
1440000	92563	4072	228339	52037
1450000	93968	4150	228662	52153
1460000	95377	4211	229021	52256
1470000	96850	4264	229337	52385
1480000	98337	4325	229663	52509
1490000	99751	4384	229991	52650
1500000	101261	4443	230335	52777
1510000	102701	4513	230663	52891
1520000	104212	4572	231022	53013
1530000	105718	4628	231326	53128
1540000	107175	4697	231640	53241
1550000	108635	4757	231964	53359
1560000	110161	4823	232269	53479
1570000	111638	4872	232574	53588
1580000	113167	4942	232876	53707
1590000	114689	4996	233167	53811
1600000	116251	5056	233470	53924
1610000	117809	5135	233746	54048
1620000	119416	5206	234033	54182
1630000	120959	5267	234335	54308
1640000	122574	5334	234631	54422
1650000	124129	5397	234929	54534
1660000	125720	5465	235204	54633
1670000	127272	5539	235497	54728
1680000	128853	5597	235804	54846
1690000	130513	5677	236087	54950
1700000	132144	5753	236346	55075
1710000	133811	5803	236640	55198
1720000	135452	5871	236914	55310
1730000	137094	5938	237160	55429
1740000	138735	6000	237429	55529
1750000	140380	6072	237716	55633
1760000	142089	6139	237974	55745
1770000	143816	6205	238224	55836
1780000	145539	6269	238510	55946
1790000	147200	6331	238744	56030
1800000	148925	6399	239008	56128
1810000	150651	6467	239261	56236
1820000	152382	6531	239506	56350
1830000	154129	6598	239775	56453
1840000	155837	6682	240033	56545
1850000	157634	6755	240274	56645
1860000	159456	6822	240507	56746
1870000	161227	6891	240762	56851
1880000	163028	6955	240997	56958
1890000	164833	7023	241231	57068
1900000	166629	7077	241444	57166
1910000	168452	7148	241691	57266
1920000	170252	7217	241918	57380
1930000	172004	7291	242159	57486
1940000	173796	7383	242364	57581
1950000	175628	7452	242584	57682
1960000	177589	7520	242816	57774
1970000	179469	7611	243033	57873
1980000	181310	7678	243243	57977
1990000	183163	7764	243464	58080
2000000	185020	7837	243678	58152
2010000	186940	7905	243882	58246
2020000	188865	7984	244100	58340
2030000	190772	8053	244310	58430
2040000	192697	8122	244530	58515
2050000	194594	8200	244768	58605
2060000	196475	8276	244967	58716
2070000	198428	8355	245182	58826
2080000	200410	8435	245377	58926
2090000	202393	8496	245606	59017
2100000	204365	8577	245781	59126
2110000	206297	8638	246018	59232
2120000	208218	8718	246202	59326
2130000	210241	8784	246392	59386
2140000	212231	8861	246596	59486
2150000	214284	8940	246781	59587
2160000	216238	9001	246976	59673
2170000	218211	9065	247149	59780
2180000	220275	9134	247342	59884
